fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2025-11-01,3129,MADRID AEROPUERTO,MADRID,609,"15,4","0,0","11,9",06:00,"18,8",15:00,"2,8","0,6","953,0",22,"948,8",20,72,89,06:00,56,15:00,,,
2025-11-02,3129,MADRID AEROPUERTO,MADRID,609,"13,2","0,0","7,6",23:49,"18,8",15:09,"1,9","9,1","958,3",Varias,"951,9",01,52,88,00:10,32,15:12,26,"7,8",03:23
2025-11-03,3129,MADRID AEROPUERTO,MADRID,609,"11,9","0,0","3,8",05:29,"20,0",15:29,"1,4","9,4","958,7",Varias,"955,0",15,58,94,05:52,29,15:56,25,"6,7",12:32
2025-11-04,3129,MADRID AEROPUERTO,MADRID,609,"11,9","0,0","3,7",04:31,"20,1",14:58,"1,4","7,3","956,1",Varias,"951,9",24,71,93,Varias,45,14:45,99,"5,8",Varias
2025-11-05,3129,MADRID AEROPUERTO,MADRID,609,"13,5","0,9","9,7",06:20,"17,3",14:32,"3,1","0,6","952,0",00,"941,6",18,79,95,20:12,57,14:31,26,"16,1",17:34
2025-11-06,3129,MADRID AEROPUERTO,MADRID,609,"11,6",Ip,"8,4",05:56,"14,8",13:41,"5,0","4,8","949,1",Varias,"944,5",00,70,91,06:07,55,13:41,99,"15,0",Varias
2025-11-07,3129,MADRID AEROPUERTO,MADRID,609,"10,5","6,3","8,2",05:39,"12,8",11:05,"3,9","0,0","949,1",Varias,"946,1",18,89,94,18:24,69,00:01,24,"11,4",21:24
2025-11-08,3129,MADRID AEROPUERTO,MADRID,609,"10,4","0,0","4,8",23:48,"16,1",14:44,"2,2","7,9","955,1",Varias,"946,5",03,63,88,00:11,40,14:32,27,"12,5",01:05
2025-11-09,3129,MADRID AEROPUERTO,MADRID,609,"8,3","0,0","1,3",07:05,"15,3",14:41,"2,2","8,2","955,2",00,"951,6",17,69,96,07:22,44,15:12,99,"8,3",Varias
2025-11-10,3129,MADRID AEROPUERTO,MADRID,609,"9,0","0,0","1,7",05:50,"16,3",15:30,"1,9","7,5","952,6",Varias,"950,0",15,73,97,Varias,54,15:16,20,"6,1",13:36
2025-11-11,3129,MADRID AEROPUERTO,MADRID,609,"11,4","0,0","5,9",01:22,"16,8",15:25,"1,4","2,5","951,8",00,"947,0",24,78,96,00:26,58,15:35,21,"4,7",Varias
2025-11-12,3129,MADRID AEROPUERTO,MADRID,609,"14,4",Ip,"4,4",05:46,"24,5",14:54,"3,3","8,9","947,0",00,"942,5",15,56,98,02:30,23,15:28,99,"16,4",Varias
2025-11-13,3129,MADRID AEROPUERTO,MADRID,609,"11,9","18,3","8,5",03:40,"15,3",11:34,"3,1","0,0","946,0",01,"939,9",24,88,95,14:49,66,11:34,16,"15,0",23:27
2025-11-14,3129,MADRID AEROPUERTO,MADRID,609,"12,8","2,5","10,1",19:19,"15,4",12:27,"5,0","1,9","943,8",24,"939,1",02,82,95,04:09,63,12:28,21,"16,9",12:40
2025-11-15,3129,MADRID AEROPUERTO,MADRID,609,"11,1","6,7","8,8",05:58,"13,4",18:10,"4,2","0,0","945,0",Varias,"937,7",17,90,96,14:22,85,03:33,16,"15,3",17:07
2025-11-16,3129,MADRID AEROPUERTO,MADRID,609,"11,5","0,1","7,8",22:26,"15,2",13:07,"4,4","3,1","945,0",Varias,"942,5",03,76,97,01:43,59,13:20,23,"17,5",12:22
2025-11-17,3129,MADRID AEROPUERTO,MADRID,609,"11,5","0,1","7,9",Varias,"15,1",15:14,"1,7","2,7","949,5",Varias,"944,7",02,79,95,Varias,56,15:24,35,"4,7",18:13
2025-11-18,3129,MADRID AEROPUERTO,MADRID,609,"9,8","0,0","3,6",23:43,"15,9",15:19,"1,4","9,0","952,0",Varias,"948,6",15,72,96,Varias,46,15:21,11,"5,8",10:47
2025-11-19,3129,MADRID AEROPUERTO,MADRID,609,"6,2",Ip,"0,2",07:13,"12,1",13:50,,"5,2","949,6",Varias,"946,9",14,69,98,Varias,46,13:53,,,
2025-11-20,3129,MADRID AEROPUERTO,MADRID,609,"5,6",Ip,"-0,3",05:46,"11,4",14:20,"2,2","6,5","952,0",Varias,"948,6",04,65,96,Varias,41,14:24,32,"10,8",12:38
2025-11-21,3129,MADRID AEROPUERTO,MADRID,609,"5,0","0,0","0,5",23:43,"9,5",14:10,"4,4","5,1","960,8",Varias,"951,3",00,53,85,01:40,41,13:30,35,"12,8",12:27
2025-11-22,3129,MADRID AEROPUERTO,MADRID,609,"3,6","0,0","-3,2",06:29,"10,3",15:01,"1,4","7,4","961,6",Varias,"957,4",21,65,93,08:19,40,15:02,21,"7,2",12:13
2025-11-23,3129,MADRID AEROPUERTO,MADRID,609,"6,4","0,0","0,0",06:59,"12,7",14:46,"1,9","4,4","958,0",00,"950,9",24,71,92,07:19,53,13:28,23,"8,3",23:18
2025-11-24,3129,MADRID AEROPUERTO,MADRID,609,"10,4","1,8","8,4",03:02,"12,5",15:29,"7,5","0,1","951,2",00,"942,5",19,85,93,Varias,60,23:43,20,"17,5",12:39
2025-11-25,3129,MADRID AEROPUERTO,MADRID,609,"8,4","0,0","3,7",07:20,"13,0",12:55,"3,1","8,3","953,8",Varias,"944,1",00,57,82,07:40,41,12:12,28,"12,8",00:01
2025-11-26,3129,MADRID AEROPUERTO,MADRID,609,"6,4","0,0","0,8",07:21,"11,9",13:30,"3,3","8,5","956,6",Varias,"953,5",01,56,84,07:33,38,13:17,36,"11,7",11:51
2025-11-27,3129,MADRID AEROPUERTO,MADRID,609,"6,3","0,0","-1,3",07:10,"13,9",14:12,"2,8","8,7","956,2",Varias,"953,4",14,67,94,06:36,43,14:33,25,"7,2",17:40
2025-11-28,3129,MADRID AEROPUERTO,MADRID,609,"7,0","0,0","-0,6",07:22,"14,6",15:32,"1,1","8,5","955,3",Varias,"951,6",16,72,98,08:22,44,15:35,22,"6,1",14:50
2025-11-29,3129,MADRID AEROPUERTO,MADRID,609,"5,2","2,6","-1,0",07:19,"11,5",15:19,"1,7","6,5","952,5",00,"946,6",16,77,98,07:35,59,15:24,22,"7,8",13:48
2025-11-30,3129,MADRID AEROPUERTO,MADRID,609,"7,8",Ip,"3,3",23:57,"12,4",14:44,"2,5","5,6","952,7",Varias,"945,1",04,71,98,Varias,48,14:32,07,"9,7",13:01
2025-12-01,3129,MADRID AEROPUERTO,MADRID,609,"5,3","0,1","-1,3",06:56,"11,9",14:13,"1,9","7,4","954,2",Varias,"949,3",23,73,95,06:37,49,13:38,22,"7,8",14:55
2025-12-02,3129,MADRID AEROPUERTO,MADRID,609,"5,8","2,7","-0,1",04:58,"11,6",12:30,"1,7","2,3","949,4",00,"945,6",24,82,98,08:58,6,12:50,25,"7,2",17:44
2025-12-03,3129,MADRID AEROPUERTO,MADRID,609,"6,6","0,1","2,3",07:59,"10,9",13:30,"3,6","7,5","952,4",Varias,"944,9",01,65,98,04:17,45,13:00,26,"10,3",20:31
2025-12-04,3129,MADRID AEROPUERTO,MADRID,609,"9,2",Ip,"6,0",01:20,"12,4",13:10,"6,1","0,1","951,7",00,"947,0",13,70,93,07:14,50,16:50,29,"17,5",13:24
2025-12-05,3129,MADRID AEROPUERTO,MADRID,609,"8,9","0,0","6,0",06:57,"11,8",13:11,"3,3","2,0","952,9",Varias,"948,1",02,77,92,Varias,55,01:34,99,"13,3",Varias
2025-12-06,3129,MADRID AEROPUERTO,MADRID,609,"13,6","0,0","11,4",22:45,"15,8",14:06,"5,3","3,1","956,0",Varias,"952,6",02,81,93,Varias,68,14:06,99,"13,9",Varias
2025-12-07,3129,MADRID AEROPUERTO,MADRID,609,"10,3","0,0","7,8",23:59,"12,8",14:37,"2,8","0,0","956,5",Varias,"954,7",05,75,90,08:01,66,15:06,21,"7,8",17:54
2025-12-08,3129,MADRID AEROPUERTO,MADRID,609,"9,4","0,0","4,7",23:53,"14,1",13:30,"1,7","4,1","956,1",Varias,"953,3",14,77,94,23:59,59,14:43,99,"6,1",Varias
2025-12-09,3129,MADRID AEROPUERTO,MADRID,609,"7,9","8,0","2,4",05:25,"13,4",15:03,"1,1","3,7","955,1",Varias,"953,0",14,81,100,08:22,65,12:43,21,"5,8",11:40
2025-12-10,3129,MADRID AEROPUERTO,MADRID,609,"9,3","2,4","8,1",23:45,"10,5",15:20,"0,8","0,0","956,1",Varias,"952,9",01,95,98,Varias,86,14:08,99,"3,6",Varias
2025-12-11,3129,MADRID AEROPUERTO,MADRID,609,"8,1",Ip,"2,8",07:23,"13,4",15:00,"1,7","7,9","956,2",Varias,"952,1",21,86,100,08:49,62,14:50,19,"5,8",13:32
2025-12-12,3129,MADRID AEROPUERTO,MADRID,609,"7,2","1,5","4,0",00:03,"10,5",13:58,"2,2","0,0","953,7",Varias,"949,6",16,94,98,00:47,83,19:21,99,"4,2",Varias
2025-12-13,3129,MADRID AEROPUERTO,MADRID,609,"11,0","0,0","6,0",07:18,"15,9",13:39,"1,1","4,5","957,8",Varias,"953,6",00,70,93,08:17,50,13:42,20,"7,8",15:31
2025-12-14,3129,MADRID AEROPUERTO,MADRID,609,"7,7","0,0","4,1",04:17,"11,3",15:36,"1,1","1,0","956,6",00,"950,5",24,80,94,04:24,70,19:13,34,"4,2",07:19
2025-12-15,3129,MADRID AEROPUERTO,MADRID,609,"9,0","8,8","6,2",03:25,"11,7",14:18,"1,9","0,1","950,5",00,"939,3",24,81,96,23:54,70,15:24,19,"5,0",21:40
2025-12-16,3129,MADRID AEROPUERTO,MADRID,609,"8,6","1,7","7,8",05:50,"9,4",11:17,"2,2","0,0","947,9",Varias,"936,6",05,95,99,07:00,82,23:47,01,"8,9",21:28
2025-12-17,3129,MADRID AEROPUERTO,MADRID,609,"10,6","0,0","6,5",04:06,"14,6",13:42,"2,8","4,3","956,2",Varias,"947,9",00,75,90,04:21,61,14:43,36,"7,2",12:59
2025-12-18,3129,MADRID AEROPUERTO,MADRID,609,"9,3","0,0","6,5",08:13,"12,1",14:49,"1,7","6,1","956,7",Varias,"953,5",16,81,94,04:01,68,14:45,22,"6,7",13:50
2025-12-19,3129,MADRID AEROPUERTO,MADRID,609,"9,0","0,2","7,2",05:53,"10,8",13:41,"0,6","0,0","953,6",00,"949,9",24,86,96,Varias,77,14:00,18,"4,2",11:00
2025-12-20,3129,MADRID AEROPUERTO,MADRID,609,"7,9","4,9","6,1",23:12,"9,7",Varias,"3,1","0,1","949,9",00,"943,0",24,88,99,07:00,80,19:41,23,"9,2",19:27
2025-12-21,3129,MADRID AEROPUERTO,MADRID,609,"3,9","1,0","-0,5",23:56,"8,3",14:43,"5,0","3,3","943,1",00,"936,0",07,82,96,Varias,62,14:51,22,"13,9",Varias
2025-12-22,3129,MADRID AEROPUERTO,MADRID,609,"2,9","0,1","-1,1",02:58,"6,9",14:27,"3,3","1,9","944,3",Varias,"938,7",00,88,99,05:47,70,14:51,24,"8,3",17:53
2025-12-23,3129,MADRID AEROPUERTO,MADRID,609,"3,3","0,0","-0,4",23:38,"7,0",15:14,"1,7","2,0","943,9",Varias,"940,7",15,90,98,Varias,74,15:11,24,"5,8",00:05
2025-12-24,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","-0,3",00:30,"11,1",14:24,"1,7","7,7","943,2",Varias,"940,1",15,73,100,03:02,53,12:58,32,"5,8",08:38
2025-12-25,3129,MADRID AEROPUERTO,MADRID,609,"3,5","0,0","2,4",02:41,"4,6",00:00,"2,5","0,0","944,6",24,"940,2",00,72,92,02:45,64,10:03,36,"6,1",11:34
2025-12-26,3129,MADRID AEROPUERTO,MADRID,609,"5,2","0,0","-1,2",05:37,"11,5",15:39,"1,9","3,2","947,5",Varias,"943,9",05,75,96,08:20,53,15:36,29,"4,7",14:38
2025-12-27,3129,MADRID AEROPUERTO,MADRID,609,"5,2","0,1","-0,7",06:47,"11,1",15:30,"1,7","3,7","948,7",Varias,"946,1",16,80,99,Varias,63,12:39,17,"6,1",14:43
2025-12-28,3129,MADRID AEROPUERTO,MADRID,609,"9,2","0,0","6,3",23:57,"12,1",14:49,"1,7","0,3","950,2",Varias,"946,6",15,68,84,Varias,52,16:11,10,"7,8",16:03
2025-12-29,3129,MADRID AEROPUERTO,MADRID,609,"7,4","0,0","1,9",23:51,"12,8",13:36,"1,4","2,8","952,7",Varias,"949,9",00,73,96,23:55,56,13:44,01,"4,7",09:21
2025-12-30,3129,MADRID AEROPUERTO,MADRID,609,"4,6",Ip,"-1,4",06:52,"10,6",14:12,"1,4","8,4","954,2",Varias,"950,8",15,82,99,08:37,60,15:44,23,"5,0",11:06
2025-12-31,3129,MADRID AEROPUERTO,MADRID,609,"3,8",Ip,"-2,5",07:20,"10,0",15:21,"0,8","8,4","952,2",Varias,"949,9",14,77,97,07:46,51,14:55,99,"5,0",Varias
2026-01-01,3129,MADRID AEROPUERTO,MADRID,609,"1,1",Ip,"-2,7",06:30,"4,9",16:24,"1,9","2,2","951,7",00,"947,2",23,89,97,03:07,76,11:16,18,"5,0",12:24
2026-01-02,3129,MADRID AEROPUERTO,MADRID,609,"7,1","0,8","4,3",00:06,"9,9",13:33,"1,7","0,0","947,4",01,"940,4",24,89,98,23:30,80,13:41,35,"4,7",22:46
2026-01-03,3129,MADRID AEROPUERTO,MADRID,609,"9,2",Ip,"5,4",04:47,"13,1",15:17,"2,2","1,2","940,6",00,"935,8",16,85,99,00:00,69,15:25,99,"5,8",Varias
